Feature,Importance,Rank
delay_customs_days,221,1
cumulative_delay_customs,175,2
propagation_port_to_customs,155,3
weather_index,145,4
delay_ratio_leg1,136,5
propagation_dep_to_port,134,6
delay_ratio_leg3,123,7
delay_accel_port_to_customs,109,8
congestion_weather_interaction,107,9
delay_departure_days,104,10
delay_accel_dep_to_port,100,11
congestion_index,96,12
delay_port_days,92,13
cumulative_delay_port,90,14
delay_ratio_leg2,85,15
origin_encoded,81,16
departure_month,76,17
route_risk_score,69,18
departure_day_of_week,69,19
disruption_severity,66,20
destination_encoded,31,21
cumulative_delay_dep,29,22
base_transit_days,21,23
is_peak_season,19,24
customs_data_missing,16,25
congestion_impact,16,26
planned_leg1_days,5,27
planned_leg2_days,2,28
route_type_encoded,0,29
planned_leg3_days,0,30
is_weekend_departure,0,31
high_disruption_flag,0,32
total_planned_days,0,33
route_factor,0,34
is_sea_route,0,35
